Gene_ID,Protein_Function,Locus
CA07g18980,3R-hydroxymyristoyl- dehydratase-hydroxymyristoyl ACP dehydrase isoform 1 [Theobroma cacao],Pepper1.55ch07:227521794-227522184
CA07g18990,Unknown protein,Pepper1.55ch07:227524841-227527270
CA07g19000,PREDICTED: probable beta-1%2C3-galactosyltransferase 2-like isoform 2 [Vitis vinifera],Pepper1.55ch07:227529871-227533748
CA07g19010,Geranyl diphosphate synthase small subunit,Pepper1.55ch07:227539218-227540214
CA07g19020,Detected protein of unknown function,Pepper1.55ch07:227542554-227543142
CA07g19030,NADH:ubiquinone oxidoreductase family protein [Arabidopsis lyrata] subsp. lyrata,Pepper1.55ch07:227550761-227554304
CA07g19040,Aconitate hydratase,Pepper1.55ch07:227557932-227565076
CA07g19050,RNI-like superfamily protein isoform 1 [Theobroma cacao],Pepper1.55ch07:227565666-227567802
CA07g19060,Pentatricopeptide repeat-containing protein,Pepper1.55ch07:227574159-227576376
CA07g19070,PREDICTED: protein translation factor SUI1 homolog [Solanum tuberosum],Pepper1.55ch07:227579111-227579450
CA07g19080,Calcium-dependent protein kinase CDPK1,Pepper1.55ch07:227580258-227580756
CA07g19090,Calcium-dependent protein kinase,Pepper1.55ch07:227580761-227584804
CA07g19100,PREDICTED: lipoxygenase homology domain-containing protein 1-like [Solanum tuberosum],Pepper1.55ch07:227599492-227601507
CA07g19110,PREDICTED: actin cytoskeleton-regulatory complex protein pan-1-like [Citrus sinensis],Pepper1.55ch07:227606901-227611287
CA07g19120,Detected protein of unknown function,Pepper1.55ch07:227615503-227619977
CA07g19130,Detected protein of unknown function,Pepper1.55ch07:227635064-227636364
CA07g19140,Detected protein of unknown function,Pepper1.55ch07:227641986-227648250
CA07g19150,Dead box ATP-dependent RNA helicase%2C putative,Pepper1.55ch07:227649717-227660839
CA07g19160,Nuclear acid binding protein%2C putative,Pepper1.55ch07:227662174-227667999
CA07g19170,Purple acid phosphatase,Pepper1.55ch07:227670809-227674402
CA07g19180,PREDICTED: CRS2-associated factor 2%2C mitochondrial-like [Solanum tuberosum],Pepper1.55ch07:227675163-227678844
CA07g19190,DTW domain containing protein,Pepper1.55ch07:227681625-227681898
CA07g19200,AT5g54880/MBG8_15,Pepper1.55ch07:227682000-227682825
CA07g19210,PREDICTED: UPF0136 membrane protein At2g26240-like [Solanum tuberosum],Pepper1.55ch07:227683189-227685518
CA07g19220,Taxane 13-alpha-hydroxylase,Pepper1.55ch07:227686369-227703198
CA07g19230,Detected protein of unknown function,Pepper1.55ch07:227704406-227721362
CA07g19240,Ubiquitin-conjugating enzyme variant%2C putative,Pepper1.55ch07:227734263-227735244
CA07g19250,C globular stage%2C putative [Theobroma cacao],Pepper1.55ch07:227765036-227766309
CA07g19260,C globular stage%2C putative [Theobroma cacao],Pepper1.55ch07:227766611-227767151
CA07g19270,Serine/threonine protein phosphatase 7 long form%2C putative [Theobroma cacao],Pepper1.55ch07:227770064-227770586
CA07g19280,C globular stage%2C putative [Theobroma cacao],Pepper1.55ch07:227785421-227787505
CA07g19290,PREDICTED: serum factor response D-like [Solanum tuberosum],Pepper1.55ch07:227788844-227789621
CA07g19300,C globular stage%2C putative [Theobroma cacao],Pepper1.55ch07:227804330-227805323
CA07g19310,C globular stage%2C putative [Theobroma cacao],Pepper1.55ch07:227812363-227812897
CA07g19320,Detected protein of unknown function,Pepper1.55ch07:227877789-227878856
CA07g19330,PREDICTED: probable protein phosphatase 2C 55-like [Solanum lycopersicum],Pepper1.55ch07:227882189-227882483
CA07g19340,C globular stage%2C putative [Theobroma cacao],Pepper1.55ch07:227883859-227884330
CA07g19350,C globular stage%2C putative [Theobroma cacao],Pepper1.55ch07:227884384-227885401
CA07g19360,Detected protein of unknown function,Pepper1.55ch07:227987151-227987802
CA07g19370,PREDICTED: serine/threonine-protein kinase PBS1-like [Solanum tuberosum],Pepper1.55ch07:228012258-228014489
CA07g19380,DNA polymerase,Pepper1.55ch07:228030157-228037600
CA07g19390,Unknown protein,Pepper1.55ch07:228042207-228043010
CA07g19400,PREDICTED: probable protein phosphatase 2C 55-like isoform X4 [Solanum tuberosum],Pepper1.55ch07:228047935-228049057
CA07g19410,Detected protein of unknown function,Pepper1.55ch07:228049745-228051571
CA07g19420,Detected protein of unknown function,Pepper1.55ch07:228056068-228058068
CA07g19430,PREDICTED: septum-promoting GTP-binding protein 1-like [Solanum tuberosum],Pepper1.55ch07:228071082-228076219
CA07g19440,PREDICTED: tryptophan synthase beta chain 2%2C chloroplastic-like [Solanum lycopersicum],Pepper1.55ch07:228079232-228082042
CA07g19450,Glucose-6-phosphate/phosphate translocator 1%2C chloroplast%2C putative,Pepper1.55ch07:228083697-228087631
CA07g19460,F-box/LRR-repeat protein,Pepper1.55ch07:228094331-228096665
CA07g19470,Thioredoxin domain-containing protein%2C putative isoform 1 [Theobroma cacao],Pepper1.55ch07:228110109-228119988
CA07g19480,Early nodulin 55-2%2C putative,Pepper1.55ch07:228120578-228121528
CA07g19490,PREDICTED: TBC1 domain family member 15-like [Solanum lycopersicum],Pepper1.55ch07:228123763-228130235
CA07g19500,COBRA-like protein,Pepper1.55ch07:228139870-228142527
CA07g19510,Pectinesterase,Pepper1.55ch07:228143932-228147025
CA07g19520,Thiazole biosynthetic enzyme,Pepper1.55ch07:228152239-228154615
CA07g19530,PREDICTED: protein translation factor SUI1 homolog isoform 1 [Solanum lycopersicum],Pepper1.55ch07:228160793-228161897
CA07g19540,Ubiquitin2,Pepper1.55ch07:228178907-228180329
CA07g19550,ABC transporter B family member,Pepper1.55ch07:228194808-228199551
CA07g19560,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch07:228209531-228211936
CA07g19570,At1g51100,Pepper1.55ch07:228230367-228230997
CA07g19580,PREDICTED: GPI-anchored protein LORELEI-like [Solanum tuberosum],Pepper1.55ch07:228253218-228254830
CA07g19590,Pentatricopeptide repeat-containing protein,Pepper1.55ch07:228255951-228256563
CA07g19600,Actin related protein,Pepper1.55ch07:228257151-228258272
CA07g19610,Actin related protein,Pepper1.55ch07:228259051-228261550
CA07g19620,Detected protein of confused Function,Pepper1.55ch07:228268401-228269175
CA07g19630,Splicing factor u2af large subunit%2C putative,Pepper1.55ch07:228290212-228294557
CA07g19640,Bromodomain-containing protein,Pepper1.55ch07:228328233-228334641
CA07g19650,Tetraacyldisaccharide 4'-kinase,Pepper1.55ch07:228340602-228345034
CA07g19660,PREDICTED: GDSL esterase/lipase At5g55050 [Vitis vinifera],Pepper1.55ch07:228350199-228356761
CA07g19670,Zinc finger protein%2C putative,Pepper1.55ch07:228359100-228362401
CA07g19680,PREDICTED: rab3 GTPase-activating protein catalytic subunit-like [Solanum tuberosum],Pepper1.55ch07:228381990-228389848
CA07g19690,Threonyl-tRNA synthetase (Fragment),Pepper1.55ch07:228390525-228390936
CA07g19700,PREDICTED: threonine--tRNA ligase%2C mitochondrial-like [Solanum tuberosum],Pepper1.55ch07:228391042-228391528
CA07g19710,Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase%2C putative,Pepper1.55ch07:228409971-228413535
CA07g19720,Imidazole glycerol phosphate synthase subunit hisF,Pepper1.55ch07:228435374-228444057
CA07g19730,Mitogen-activated protein kinase kinase kinase%2C putative,Pepper1.55ch07:228449643-228451053
CA07g19740,1%2C4-alpha-glucan branching enzyme%2C putative,Pepper1.55ch07:228464596-228477200
CA07g19750,LIM and calponin domains-containing protein 1%2C putative [Theobroma cacao],Pepper1.55ch07:228494258-228494804
CA07g19760,Ubiquitin-activating enzyme E1%2C putative,Pepper1.55ch07:228499459-228504397
CA07g19770,Unknown protein,Pepper1.55ch07:228507971-228508265
CA07g19780,Glycosyl hydrolase 9B8 [Theobroma cacao],Pepper1.55ch07:228515743-228522313
CA07g19790,PREDICTED: small ubiquitin-related modifier 2-like [Cucumis sativus],Pepper1.55ch07:228527844-228530228
CA07g19800,Detected protein of unknown function,Pepper1.55ch07:228533502-228534576
CA07g19810,TNP1,Pepper1.55ch07:228535560-228537107
CA07g19820,PREDICTED: protein SPIRAL1-like 1-like [Solanum tuberosum],Pepper1.55ch07:228538890-228539178
CA07g19830,Ethylene-responsive-element-binding factor 8,Pepper1.55ch07:228551965-228552604
CA07g19840,AT3g20300/MQC12_5,Pepper1.55ch07:228561570-228565599
CA07g19850,PREDICTED: EH domain-containing protein 1-like [Solanum tuberosum],Pepper1.55ch07:228567945-228573329
CA07g19860,GrpE protein homolog,Pepper1.55ch07:228605406-228608149
CA07g19870,Thiol:disulfide interchange protein txlA%2C putative,Pepper1.55ch07:228609012-228610568
CA07g19880,Trigger factor%2C putative,Pepper1.55ch07:228613233-228621588
CA07g19890,Phosphatidate cytidylyltransferase,Pepper1.55ch07:228622079-228622525
CA07g19900,Phosphatidate cytidylyltransferase,Pepper1.55ch07:228622557-228624779
CA07g19910,Microtubule-associated protein MAP65-1b,Pepper1.55ch07:228636126-228639743
CA07g19920,Protein C6orf55%2C putative,Pepper1.55ch07:228641981-228646899
CA07g19930,Benzoate carboxyl methyltransferase%2C putative,Pepper1.55ch07:228652176-228656293
CA07g19940,Detected protein of unknown function,Pepper1.55ch07:228672946-228676134
CA07g19950,Lipopolysaccharide-binding protein%2C putative,Pepper1.55ch07:228680776-228687643
CA07g19960,Serine/threonine-protein phosphatase,Pepper1.55ch07:228693051-228700300
CA07g19970,Syntaxin-52,Pepper1.55ch07:228705065-228708526
CA07g19980,PREDICTED: transcription initiation factor TFIID subunit 6-like [Solanum lycopersicum],Pepper1.55ch07:228709431-228714988
CA07g19990,Plastid-dividing ring protein,Pepper1.55ch07:228715506-228719494
CA07g20000,PREDICTED: probable long-chain-alcohol O-fatty-acyltransferase 3-like [Solanum tuberosum],Pepper1.55ch07:228724695-228725415
CA07g20010,Wax synthase isoform 3,Pepper1.55ch07:228726705-228727761
CA07g20020,Fimbrin%2C putative,Pepper1.55ch07:228728832-228735747
CA07g20030,Isocitrate dehydrogenase [NADP],Pepper1.55ch07:228752652-228754521
CA07g20040,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein%2C putative [Theobroma cacao],Pepper1.55ch07:228775104-228775416
CA07g20050,Glycerophosphoryl diester phosphodiesterase%2C putative,Pepper1.55ch07:228788776-228798023
CA07g20060,PREDICTED: putative MO25-like protein At5g47540-like [Solanum tuberosum],Pepper1.55ch07:228803003-228807282
CA07g20070,Putative beta 1%2C2-xylosyltransferase,Pepper1.55ch07:228814811-228819734
CA07g20080,PREDICTED: pirin-like protein At1g50590-like [Solanum lycopersicum],Pepper1.55ch07:228827487-228831248
CA07g20090,40S ribosomal protein S8,Pepper1.55ch07:228833909-228839322
CA07g20100,Putative lysine decarbxylase,Pepper1.55ch07:228879771-228881482
CA07g20110,PREDICTED: mitochondrial import inner membrane translocase subunit TIM22-3-like [Cicer arietinum],Pepper1.55ch07:228900123-228901666
CA07g20120,Chromosome-associated kinesin KIF4A%2C putative,Pepper1.55ch07:228915675-228922425
CA07g20130,Calcium-dependent lipid-binding family protein isoform 1 [Theobroma cacao],Pepper1.55ch07:228933951-228935238
CA07g20140,Leucine-rich repeat receptor-like protein kinase,Pepper1.55ch07:228936252-228938282
CA07g20150,PREDICTED: probable serine/threonine-protein kinase WNK11-like [Solanum tuberosum],Pepper1.55ch07:228944345-228950904
CA07g20160,WRKY transcription factor%2C putative,Pepper1.55ch07:228950906-228956419
CA07g20170,Chitin-inducible gibberellin-responsive protein,Pepper1.55ch07:228957284-228958928
CA07g20180,PREDICTED: NADH-ubiquinone oxidoreductase 21 kDa subunit-like [Solanum tuberosum],Pepper1.55ch07:228973274-228974677
CA07g20190,PREDICTED: probable protein phosphatase 2C 51-like [Vitis vinifera],Pepper1.55ch07:228975433-228975936
CA07g20200,RNA binding protein%2C putative,Pepper1.55ch07:228988139-228991599
CA07g20210,PREDICTED: calcium-transporting ATPase 12%2C plasma membrane-type-like [Vitis vinifera],Pepper1.55ch07:229031929-229035687
CA07g20220,Magnesium and cobalt efflux protein corC%2C putative,Pepper1.55ch07:229038712-229046268
CA07g20230,PREDICTED: ABC transporter C family member 3-like [Vitis vinifera],Pepper1.55ch07:229048791-229054228
CA07g20240,Rhicadhesin receptor%2C putative,Pepper1.55ch07:229063211-229064310
CA07g20250,Serine acetyltransferase 1 (Fragment),Pepper1.55ch07:229067232-229068303
CA07g20260,Pectinesterase,Pepper1.55ch07:229077938-229080892
CA07g20270,Pectinesterase,Pepper1.55ch07:229083211-229086537
CA07g20280,DNA binding protein%2C putative,Pepper1.55ch07:229086952-229091404
CA07g20290,Putative zinc transporter,Pepper1.55ch07:229094046-229096776
CA07g20300,Unknown protein,Pepper1.55ch07:229128833-229129118
CA07g20310,Detected protein of unknown function,Pepper1.55ch07:229137753-229138494
CA07g20320,K+ channel protein,Pepper1.55ch07:229167386-229167785
CA07g20330,Cysteine synthase,Pepper1.55ch07:229228513-229230449
CA07g20340,PREDICTED: axoneme-associated protein mst101(2)-like [Solanum tuberosum],Pepper1.55ch07:229237529-229244839
CA07g20350,PREDICTED: nuclear transcription factor Y subunit B-3 [Vitis vinifera],Pepper1.55ch07:229246721-229247282
CA07g20360,RNA-binding protein%2C putative,Pepper1.55ch07:229255858-229257849
CA07g20370,Fasciclin-like arabinogalactan protein 11,Pepper1.55ch07:229268030-229269017
CA07g20380,PREDICTED: nudix hydrolase 2-like [Solanum lycopersicum],Pepper1.55ch07:229272710-229275315
CA07g20390,Maturase,Pepper1.55ch07:229279987-229280523
CA07g20400,PREDICTED: transmembrane protein 18-like [Solanum lycopersicum],Pepper1.55ch07:229296533-229296879
CA07g20410,Kinase%2C putative,Pepper1.55ch07:229417644-229419630
CA07g20420,ATP binding protein%2C putative,Pepper1.55ch07:229443602-229450655
CA07g20430,PREDICTED: poly(A)-specific ribonuclease PARN-like [Solanum tuberosum],Pepper1.55ch07:229496512-229502105
CA07g20440,PREDICTED: E3 ubiquitin-protein ligase UPL1-like isoform X1 [Citrus sinensis],Pepper1.55ch07:229624393-229637741
CA07g20450,PREDICTED: RPM1-interacting protein 4-like isoform X1 [Solanum tuberosum],Pepper1.55ch07:229647731-229650360
CA07g20460,PREDICTED: transmembrane emp24 domain-containing protein p24beta2-like isoform X1 [Solanum tuberosum],Pepper1.55ch07:229651241-229654767
CA07g20470,Cellulose synthase%2C putative,Pepper1.55ch07:229656742-229662764
CA07g20480,Cellulose synthase-like protein,Pepper1.55ch07:229726493-229730770
CA07g20490,Paramyosin%2C putative,Pepper1.55ch07:229745760-229748396
CA07g20500,Systemin receptor SR160%2C putative,Pepper1.55ch07:229752021-229754614
CA07g20510,Protein phosphatase 2c%2C putative,Pepper1.55ch07:229784604-229786455
CA07g20520,Detected protein of unknown function,Pepper1.55ch07:229790736-229793973
CA07g20530,SEC14 cytosolic factor%2C putative,Pepper1.55ch07:229794886-229798503
CA07g20540,Protein kinase,Pepper1.55ch07:229815244-229820984
CA07g20550,PREDICTED: pentatricopeptide repeat-containing protein At5g66520 [Vitis vinifera],Pepper1.55ch07:229828971-229830870
CA07g20560,PREDICTED: hyphally regulated cell wall protein 3-like isoform X2 [Citrus sinensis],Pepper1.55ch07:229839087-229844461
CA07g20570,PREDICTED: coiled-coil domain-containing protein 22 [Vitis vinifera],Pepper1.55ch07:229845685-229849021
CA07g20580,ATP-binding cassette transporter%2C putative,Pepper1.55ch07:229850644-229852747
CA07g20590,PREDICTED: mannosylglycoprotein endo-beta-mannosidase-like isoform X1 [Citrus sinensis],Pepper1.55ch07:229866135-229866483
CA07g20600,Detected protein of unknown function,Pepper1.55ch07:229872517-229874885
CA07g20610,PREDICTED: E3 ubiquitin-protein ligase At4g11680-like [Solanum lycopersicum],Pepper1.55ch07:229889524-229891453
CA07g20620,Calcineurin B-like protein 02,Pepper1.55ch07:229896144-229900593
CA07g20630,PREDICTED: heat shock cognate protein 80-like [Vitis vinifera],Pepper1.55ch07:229901618-229905814
CA07g20640,Protein transport protein SFT2%2C putative,Pepper1.55ch07:229908656-229912496
CA07g20650,kinase family protein [Populus trichocarpa],Pepper1.55ch07:229922537-229926074
CA07g20660,PREDICTED: regulatory protein recX-like [Vitis vinifera],Pepper1.55ch07:229927652-229929515
CA07g20670,Annexin,Pepper1.55ch07:229932653-229935237
CA07g20680,Kinesin heavy chain%2C putative,Pepper1.55ch07:229936456-229942595
CA07g20690,Uridine kinase,Pepper1.55ch07:229964659-229974865
CA07g20700,Late embryogenesis abundant hydroxyproline-rich glycoprotein family%2C putative [Theobroma cacao],Pepper1.55ch07:229976322-229977081
CA07g20710,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch07:229978300-229979299
CA07g20720,Detected protein of unknown function,Pepper1.55ch07:229981001-229983650
CA07g20730,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch07:229989848-229990313
CA07g20740,metal ion binding protein%2C putative [Ricinus communis],Pepper1.55ch07:229996417-229997603
CA07g20750,PREDICTED: BTB/POZ domain-containing protein At1g55760-like [Solanum tuberosum],Pepper1.55ch07:230016221-230018717
CA07g20760,Unknown protein,Pepper1.55ch07:230021677-230021905
CA07g20770,PREDICTED: enhancer of mRNA-decapping protein 4-like [Vitis vinifera],Pepper1.55ch07:230026996-230037734
CA07g20780,PREDICTED: chaperone protein dnaJ 11%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch07:230038892-230039930
CA07g20790,PREDICTED: chaperone protein dnaJ 11%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch07:230043860-230044460
CA07g20800,Alkaline alpha-galactosidase seed imbibition protein,Pepper1.55ch07:230065906-230070288
CA07g20810,Amino acid permease,Pepper1.55ch07:230080464-230082722
CA07g20820,Amino acid permease,Pepper1.55ch07:230089695-230092184
CA07g20830,Amino acid transporter%2C putative,Pepper1.55ch07:230094758-230097828
CA07g20840,Proteasome activating protein 200 isoform 1 [Theobroma cacao],Pepper1.55ch07:230210747-230221837
CA07g20850,Detected protein of unknown function,Pepper1.55ch07:230232453-230233128
CA07g20860,PREDICTED: THO complex subunit 3-like [Cucumis sativus],Pepper1.55ch07:230233977-230241239
CA07g20870,KH domain-containing protein,Pepper1.55ch07:230247376-230253251
CA07g20880,ubiquitin-conjugating enzyme E2-17 kDa [Zea mays],Pepper1.55ch07:230257957-230259746
CA07g20890,Transporter%2C putative,Pepper1.55ch07:230273212-230277792
CA07g20900,PREDICTED: GPI-anchored protein LORELEI-like [Solanum lycopersicum],Pepper1.55ch07:230280720-230283089
CA07g20910,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch07:230286826-230288410
CA07g20920,Actin related protein,Pepper1.55ch07:230289366-230297053
CA07g20930,WD-repeat protein-like protein,Pepper1.55ch07:230312627-230315283
CA07g20940,PREDICTED: photosystem I reaction center subunit V%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch07:230316809-230317256
CA07g20950,Tapetum-specific zinc finger protein 1,Pepper1.55ch07:230321803-230322757
CA07g20960,PREDICTED: WPP domain-interacting protein 2-like [Solanum tuberosum],Pepper1.55ch07:230328714-230331934
CA07g20970,Nucleoside-triphosphatase/ nucleotide binding protein,Pepper1.55ch07:230337488-230340512
CA07g20980,PREDICTED: PRA1 family protein G2 [Vitis vinifera],Pepper1.55ch07:230341566-230342151
CA07g20990,Detected protein of unknown function,Pepper1.55ch07:230348083-230353265
CA07g21000,PREDICTED: chloride channel protein CLC-f-like [Solanum tuberosum],Pepper1.55ch07:230371509-230382202
CA07g21010,3'-N-debenzoyl-2'-deoxytaxol N-benzoyltransferase%2C putative,Pepper1.55ch07:230385655-230386990
CA07g21020,3'-N-debenzoyl-2'-deoxytaxol N-benzoyltransferase%2C putative,Pepper1.55ch07:230399799-230401128
CA07g21030,WRKY7,Pepper1.55ch07:230429561-230433082
CA07g21040,Putative leucine rich repeat-type serine/threonine receptor-like kinase,Pepper1.55ch07:230444230-230447824
CA07g21050,Polypepetide with reverse transcriptase and RNaseH domains,Pepper1.55ch07:230537890-230538535
CA07g21060,F-box family protein,Pepper1.55ch07:230700124-230701582
CA07g21070,F-box family protein,Pepper1.55ch07:230764360-230765290
CA07g21080,Pectinesterase,Pepper1.55ch07:230858320-230861633
CA07g21090,PREDICTED: ribosomal RNA large subunit methyltransferase I-like [Cucumis sativus],Pepper1.55ch07:230953996-230954749
CA07g21100,Ent-kaurene synthase,Pepper1.55ch07:230957416-230962100
CA07g21110,Defective in cullin neddylation protein%2C putative,Pepper1.55ch07:230984654-230991139
CA07g21120,Detected protein of unknown function,Pepper1.55ch07:230993443-231000176
CA07g21130,Short-chain dehydrogenase/reductase family protein,Pepper1.55ch07:231005970-231007899
CA07g21140,At1g56180/F14G9_20,Pepper1.55ch07:231008883-231012762
CA07g21150,Phosphoglycerate kinase,Pepper1.55ch07:231014550-231017013
CA07g21160,Phosphoglycerate kinase,Pepper1.55ch07:231018873-231021645
CA07g21170,Sulfurtransferase,Pepper1.55ch07:231024327-231029300
CA07g21180,AtMYB58,Pepper1.55ch07:231087347-231088881
CA07g21190,PREDICTED: ubiquitin-NEDD8-like protein RUB2-like [Solanum lycopersicum],Pepper1.55ch07:231093579-231096533
CA07g21200,Detected protein of unknown function,Pepper1.55ch07:231101571-231102800
CA07g21210,PREDICTED: auxin-induced protein 10A5-like [Solanum lycopersicum],Pepper1.55ch07:231119777-231120173
CA07g21220,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g56130-like [Cucumis sativus],Pepper1.55ch07:231149266-231152650
CA07g21230,Polyprotein%2C putative,Pepper1.55ch07:231160472-231160934
CA07g21240,Gypsy/Ty-3 retroelement polyprotein%3B 69905-74404,Pepper1.55ch07:231168147-231169809
CA07g21250,ATP binding protein%2C putative,Pepper1.55ch07:231175622-231184970
CA07g21260,At3g12870,Pepper1.55ch07:231185794-231186406
CA07g21270,PREDICTED: sperm-associated antigen 1-like [Citrus sinensis],Pepper1.55ch07:231187367-231189651
CA07g21280,Detected protein of unknown function,Pepper1.55ch07:231190869-231191373
CA07g21290,Detected protein of unknown function,Pepper1.55ch07:231196498-231199998
CA07g21300,PREDICTED: zinc finger protein CONSTANS-LIKE 2-like [Solanum tuberosum],Pepper1.55ch07:231208236-231209206
CA07g21310,Molybdopterin cofactor sulfurase%2C putative,Pepper1.55ch07:231214175-231226647
CA07g21320,NAC domain protein IPR003441,Pepper1.55ch07:231231668-231233411
CA07g21330,Porphobilinogen deaminase%2C putative,Pepper1.55ch07:231234301-231237268
CA07g21340,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein isoform 5%2C partial [Theobroma cacao],Pepper1.55ch07:231309504-231312742
CA07g21350,Detected protein of unknown function,Pepper1.55ch07:231313784-231319206
CA07g21360,auxin-responsive family protein [Populus trichocarpa],Pepper1.55ch07:231321998-231322388
CA07g21370,GTP-binding protein%2C putative,Pepper1.55ch07:231325599-231329156
CA07g21380,T6H22.14 protein,Pepper1.55ch07:231332219-231335468
CA07g21390,Peptidyl-prolyl cis-trans isomerase-like protein,Pepper1.55ch07:231337707-231349145
CA07g21400,Transducin family protein,Pepper1.55ch07:231368698-231376908
CA07g21410,Unknown protein,Pepper1.55ch07:231377597-231378053
CA07g21420,Pentatricopeptide repeat-containing protein,Pepper1.55ch07:231379650-231381411
CA07g21430,Detected protein of unknown function,Pepper1.55ch07:231385745-231386003
CA07g21440,lipid binding protein%2C putative [Ricinus communis],Pepper1.55ch07:231394199-231394508
CA07g21450,PREDICTED: uncharacterized serine-rich protein C215.13-like [Solanum tuberosum],Pepper1.55ch07:231397878-231399114
CA07g21460,PREDICTED: protein RRNAD1-like [Citrus sinensis],Pepper1.55ch07:231408903-231416642
CA07g21470,Salicylic acid-induced protein 19,Pepper1.55ch07:231428701-231434251
CA07g21480,PREDICTED: transcription factor IIIB 50 kDa subunit-like [Solanum lycopersicum],Pepper1.55ch07:231441294-231442875
CA07g21490,DNA repair protein recA%2C chloroplast%2C putative%2C expressed,Pepper1.55ch07:231444556-231448245
CA07g21500,PREDICTED: photosystem II 10 kDa polypeptide%2C chloroplastic-like [Fragaria vesca] subsp. vesca,Pepper1.55ch07:231449754-231451479
CA07g21510,Detected protein of unknown function,Pepper1.55ch07:231459865-231461485
CA07g21520,Heat shock protein binding protein%2C putative,Pepper1.55ch07:231469759-231475634
CA07g21530,N6-DNA-methyltransferase%2C putative,Pepper1.55ch07:231476547-231478358
CA07g21540,Protein phosphatase-2c%2C putative,Pepper1.55ch07:231492777-231498759
CA07g21550,GRAS family transcription factor LATERAL,Pepper1.55ch07:231511150-231512497
CA07g21560,Signalosome subunit%2C putative,Pepper1.55ch07:231521406-231527296
CA07g21570,WD-repeat protein%2C putative,Pepper1.55ch07:231528492-231536039
CA07g21580,F-box family protein,Pepper1.55ch07:231649167-231650496
CA07g21590,Putative reverse transcriptase,Pepper1.55ch07:231791265-231791751
CA07g21600,F-box family protein,Pepper1.55ch07:231822266-231823211
CA07g21610,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum],Pepper1.55ch07:231864083-231864503
CA07g21620,Disease resistance protein BS2,Pepper1.55ch07:231867669-231870357
CA07g21630,Disease resistance protein BS2,Pepper1.55ch07:231881170-231890157
CA07g21640,Disease resistance protein BS2,Pepper1.55ch07:231890271-231890856
CA07g21650,Peptidase M28 family protein,Pepper1.55ch07:231899840-231903816
CA07g21660,Unknown protein,Pepper1.55ch07:231908319-231908661
CA08g00010,Detected protein of unknown function,Pepper1.55ch08:69599-72074
CA08g00020,Detected protein of unknown function,Pepper1.55ch08:74223-76481
CA08g00030,Detected protein of unknown function,Pepper1.55ch08:79753-81381
CA08g00040,Detected protein of unknown function,Pepper1.55ch08:84368-86982
CA08g00050,At3g55600,Pepper1.55ch08:89277-89997
CA08g00060,Extensin-like protein (Fragment),Pepper1.55ch08:129958-130471
CA08g00070,Receptor-like protein kinase,Pepper1.55ch08:152099-155218
CA08g00080,Unknown protein,Pepper1.55ch08:178684-179736
CA08g00090,Fatty oxidation complex alpha subunit,Pepper1.55ch08:197944-198546
CA08g00100,Oxidoreductase,Pepper1.55ch08:209720-211252
CA08g00110,RNA-directed DNA polymerase,Pepper1.55ch08:250583-251704
CA08g00120,Oxidoreductase,Pepper1.55ch08:301073-302681
CA08g00130,Oxidoreductase,Pepper1.55ch08:314784-315156
CA08g00140,RNase H family protein,Pepper1.55ch08:332341-332707
CA08g00150,Detected protein of unknown function,Pepper1.55ch08:335682-337595
CA08g00160,Ras-related GTP-binding protein,Pepper1.55ch08:374662-379057
CA08g00170,4%2C5-DOPA dioxygenase extradiol-like protein%2C putative,Pepper1.55ch08:381484-382303
CA08g00180,Nuclear-localized RNA binding protein,Pepper1.55ch08:383353-385789
CA08g00190,RNA-directed DNA polymerase (Reverse transcriptase),Pepper1.55ch08:402512-403118
CA08g00200,F8M12.22 protein,Pepper1.55ch08:403168-403498
CA08g00210,Endonuclease/exonuclease/phosphatase,Pepper1.55ch08:406249-406762
CA08g00220,Detected protein of confused Function,Pepper1.55ch08:414441-415435
CA08g00230,PREDICTED: protein TPX2-like [Solanum lycopersicum],Pepper1.55ch08:474475-475325
CA08g00240,PREDICTED: L-ascorbate oxidase homolog [Solanum tuberosum],Pepper1.55ch08:623519-624317
CA08g00250,PREDICTED: importin-5-like [Solanum lycopersicum],Pepper1.55ch08:625702-634703
CA08g00260,Late blight resistance protein%2C putative,Pepper1.55ch08:636952-639180
CA08g00270,Prf,Pepper1.55ch08:639264-641250
CA08g00280,PREDICTED: importin-5-like [Solanum tuberosum],Pepper1.55ch08:642087-647922
CA08g00290,NBS-coding resistance gene analog (Fragment),Pepper1.55ch08:783802-784396
